Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ERR14108382	ERR14108382.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1415323.0	0.0	20-69	61.0	46.12674234162487	67.85740216190933	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
ERR14108383	ERR14108383.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2322315.0	0.0	20-67	63.0	55.42224805667654	66.89804742250729	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
ERR14108384	ERR14108384.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2248924.0	0.0	20-68	63.0	44.26271853470456	67.9032025982203	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
ERR14108385	ERR14108385.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2131013.0	0.0	20-68	62.0	43.43861900363839	67.894752401792	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
ERR14108386	ERR14108386.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2552301.0	0.0	20-68	62.0	39.564207122152915	67.91709049990577	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
ERR14108387	ERR14108387.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2559424.0	0.0	20-67	63.0	30.344539791276336	66.91153947138106	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
ERR14108388	ERR14108388.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2666344.0	0.0	21-70	62.0	41.25517005940487	69.88160117374203	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
ERR14108389	ERR14108389.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2575303.0	0.0	21-68	63.0	39.07179559203514	67.92174357735769	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
ERR14108390	ERR14108390.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2377799.0	0.0	20-68	64.0	50.10310428464126	67.90478715820808	pass	pass	pass	pass	fail	fail	pass	warn	warn	pass	pass
ERR14108391	ERR14108391.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2328184.0	0.0	20-68	62.0	34.44301841138914	67.90407502156187	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
ERR14108392	ERR14108392.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1563514.0	0.0	21-68	62.0	46.48237484795995	67.85820785742884	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
