Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ERR14108382	53.87325765837513	61.0	67.85740216190933	27.27272727272727	1415323.0
ERR14108383	44.57775194332346	63.0	66.89804742250729	9.090909090909092	2322315.0
ERR14108384	55.73728146529544	63.0	67.9032025982203	27.27272727272727	2248924.0
ERR14108385	56.56138099636161	62.0	67.894752401792	27.27272727272727	2131013.0
ERR14108386	60.435792877847085	62.0	67.91709049990577	27.27272727272727	2552301.0
ERR14108387	69.65546020872367	63.0	66.91153947138106	27.27272727272727	2559424.0
ERR14108388	58.74482994059513	62.0	69.88160117374203	27.27272727272727	2666344.0
ERR14108389	60.92820440796486	63.0	67.92174357735769	27.27272727272727	2575303.0
ERR14108390	49.89689571535874	64.0	67.90478715820808	18.181818181818183	2377799.0
ERR14108391	65.55698158861085	62.0	67.90407502156187	27.27272727272727	2328184.0
ERR14108392	53.51762515204005	62.0	67.85820785742884	27.27272727272727	1563514.0
ERR14108393	57.203678947435165	60.0	67.85110420389991	27.27272727272727	1666857.0
ERR14108394	56.50434083854371	60.0	67.85958514222962	27.27272727272727	1265735.0
ERR14108395	75.08406144443808	49.0	67.91510207258376	27.27272727272727	2826665.0
ERR14108396	65.45895243376427	60.0	67.88158609164768	18.181818181818183	1895149.0
ERR14108397	47.94125424232036	63.0	66.87529334761548	18.181818181818183	1555322.0
ERR14108398	55.906250112958276	58.0	67.85683826408338	27.27272727272727	1667799.0
ERR14108399	56.62003552288437	64.0	67.90932716423073	18.181818181818183	2775120.0
ERR14108400	58.63736636096027	58.0	67.85791917821157	27.27272727272727	1492939.0
ERR14108401	53.24483441404356	61.0	67.90441886997951	27.27272727272727	2646129.0
ERR14108402	54.9342036491546	62.0	66.90004541162735	18.181818181818183	2530189.0
ERR14108403	59.59556452753997	58.0	66.87892934767835	27.27272727272727	1692202.0
ERR14108404	50.18429768588841	62.0	67.83595752516952	27.27272727272727	1615545.0
ERR14108405	56.30065283991231	60.0	66.85531705464045	27.27272727272727	1674254.0
ERR14108406	53.17210833740986	63.0	66.8453889878469	27.27272727272727	1609549.0
ERR14108407	62.0710669623454	60.0	67.88017573067187	27.27272727272727	1656626.0
ERR14108408	47.459325905346326	59.0	66.85423498679307	18.181818181818183	1442047.0
ERR14108409	58.69835573844176	60.0	67.86478514115426	27.27272727272727	1882515.0
ERR14108410	54.11700019426403	62.0	67.83616214556054	27.27272727272727	1461921.0
ERR14108411	53.7375254897958	60.0	67.86348010454448	27.27272727272727	1499840.0
ERR14108412	57.46364454119308	61.0	67.91540713654587	27.27272727272727	2779608.0
ERR14108413	49.201342649334634	61.0	67.86808304566203	18.181818181818183	1528075.0
ERR14108414	51.12046508640546	61.0	67.85913696643435	27.27272727272727	1646564.0
ERR14108415	63.75753312557839	62.0	66.86312406082722	27.27272727272727	1699634.0
ERR14108416	58.237211891413025	63.0	66.85906215344444	27.27272727272727	1617706.0
ERR14108417	52.81294317837981	62.0	67.84708763064997	27.27272727272727	1386912.0
ERR14108418	46.12352578952596	62.0	66.80794371765272	18.181818181818183	1231363.0
ERR14108419	56.38027351775568	59.0	68.86106376757851	27.27272727272727	1682736.0
ERR14108420	56.818621558973774	60.0	66.86134015726772	27.27272727272727	1496302.0
ERR14108421	54.46335109335049	60.0	66.82285669020811	27.27272727272727	1287658.0
ERR14108422	65.37529449491453	61.0	69.8575161738458	27.27272727272727	1779416.0
ERR14108423	86.23952458773756	45.0	67.92205244244884	27.27272727272727	1861431.0
