Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,external_id,geographic_location_(region_and_locality),INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,specimen_voucher,SRA Study,Submitter_Id,ENA_first_public,ENA_last_update,INSDC_center_alias,variety,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,Scientific_Name
ERR6064642,RAD-Seq,97,181139172,PRJEB39114,SAMEA8113372,134908692,NEES INSITUTE FOR BIODIVERSITY OF PLANTS,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2021-07-08,2021-07-08,ERX5703510,SAMEA8113372,"Region IV\, Coquimbo\, Los Molles",Nees Insitute for Biodiversity of Plants,2021-07-08T12:21:42Z,2021-07-08T12:21:42Z,public,unspecified,SINGLE,Restriction Digest,GENOMIC,Eulychnia castanea,ILLUMINA,2021-07-08T00:00:00Z,2021-07-14T06:30:00Z,1,SAMEA8113372,ED3109,F.Luebert 3757,ERP122593,ED3109,2021-07-08,2021-07-08,Nees Insitute for Biodiversity of Plants,,,,
ERR6064643,RAD-Seq,95,185438195,PRJEB39114,SAMEA8113349,139063828,NEES INSITUTE FOR BIODIVERSITY OF PLANTS,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",2021-07-08,2021-07-08,ERX5703511,SAMEA8113349,"Region IV\, Coquimbo\, Illapel",Nees Insitute for Biodiversity of Plants,2021-07-08T12:21:42Z,2021-07-08T12:21:42Z,public,unspecified,SINGLE,Restriction Digest,GENOMIC,Eulychnia acida,ILLUMINA,2021-07-08T00:00:00Z,2021-07-14T06:29:00Z,1,SAMEA8113349,ED3110,F.Luebert 3767,ERP122593,ED3110,2021-07-08,2021-07-08,Nees Insitute for Biodiversity of Plants,,,,
ERR6064644,RAD-Seq,96,137428471,PRJEB39114,SAMEA8113362,102485468,NEES INSITUTE FOR BIODIVERSITY OF PLANTS,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",2021-07-08,2021-07-08,ERX5703512,SAMEA8113362,"Region IV\, Coquimbo\, Coquimbo",Nees Insitute for Biodiversity of Plants,2021-07-08T12:21:42Z,2021-07-08T12:21:42Z,public,unspecified,SINGLE,Restriction Digest,GENOMIC,Eulychnia breviflora,ILLUMINA,2021-07-08T00:00:00Z,2021-07-14T06:29:00Z,1,SAMEA8113362,ED3111,F.Luebert 3808,ERP122593,ED3111,2021-07-08,2021-07-08,Nees Insitute for Biodiversity of Plants,,,,
ERR6064645,RAD-Seq,89,134378418,PRJEB39114,SAMEA8113387,100514442,NEES INSITUTE FOR BIODIVERSITY OF PLANTS,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",2021-07-08,2021-07-08,ERX5703513,SAMEA8113387,"Region IV\, Coquimbo\, La Serena",Nees Insitute for Biodiversity of Plants,2021-07-08T12:21:42Z,2021-07-08T12:21:42Z,public,unspecified,SINGLE,Restriction Digest,GENOMIC,Eulychnia sp. 2 FM-2020,ILLUMINA,2021-07-08T00:00:00Z,2021-07-14T06:28:00Z,1,SAMEA8113387,ED3112,F.Luebert 3814,ERP122593,ED3112,2021-07-08,2021-07-08,Nees Insitute for Biodiversity of Plants,,,,
ERR6064646,RAD-Seq,97,145536975,PRJEB39114,SAMEA8113359,108033557,NEES INSITUTE FOR BIODIVERSITY OF PLANTS,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",2021-07-08,2021-07-08,ERX5703514,SAMEA8113359,"Region III\, Atacama\, Freirina",Nees Insitute for Biodiversity of Plants,2021-07-08T12:21:42Z,2021-07-08T12:21:42Z,public,unspecified,SINGLE,Restriction Digest,GENOMIC,Eulychnia acida var. procumbens,ILLUMINA,2021-07-08T00:00:00Z,2021-07-14T06:29:00Z,1,SAMEA8113359,ED3113,F.Luebert 3848,ERP122593,ED3113,2021-07-08,2021-07-08,Nees Insitute for Biodiversity of Plants,procumbens,,,
ERR6064647,RAD-Seq,96,85254700,PRJEB39114,SAMEA8113355,63814793,NEES INSITUTE FOR BIODIVERSITY OF PLANTS,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2021-07-08,2021-07-08,ERX5703515,SAMEA8113355,"Region III\, Atacama\, Estancia Castilla",Nees Insitute for Biodiversity of Plants,2021-07-08T12:21:42Z,2021-07-08T12:21:42Z,public,unspecified,SINGLE,Restriction Digest,GENOMIC,Eulychnia acida var. elata,ILLUMINA,2021-07-08T00:00:00Z,2021-07-14T06:28:00Z,1,SAMEA8113355,ED3114,F.Luebert 3866,ERP122593,ED3114,2021-07-08,2021-07-08,Nees Insitute for Biodiversity of Plants,elata,,,
ERR6064648,RAD-Seq,99,188640237,PRJEB39114,SAMEA8113386,139939942,NEES INSITUTE FOR BIODIVERSITY OF PLANTS,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",2021-07-08,2021-07-08,ERX5703516,SAMEA8113386,"Region III\, Atacama\, Piedra Colgada",Nees Insitute for Biodiversity of Plants,2021-07-08T12:21:42Z,2021-07-08T12:21:42Z,public,unspecified,SINGLE,Restriction Digest,GENOMIC,Eulychnia sp. 1 FM-2020,ILLUMINA,2021-07-08T00:00:00Z,2021-07-14T06:31:00Z,1,SAMEA8113386,ED3115,F.Luebert 3884,ERP122593,ED3115,2021-07-08,2021-07-08,Nees Insitute for Biodiversity of Plants,,,,
ERR6064649,RAD-Seq,98,170855182,PRJEB39114,SAMEA8113368,126975093,NEES INSITUTE FOR BIODIVERSITY OF PLANTS,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2021-07-08,2021-07-08,ERX5703517,SAMEA8113368,"Region III\, Atacama\, Caldera",Nees Insitute for Biodiversity of Plants,2021-07-08T12:21:42Z,2021-07-08T12:21:42Z,public,unspecified,SINGLE,Restriction Digest,GENOMIC,Eulychnia breviflora var. tenuis,ILLUMINA,2021-07-08T00:00:00Z,2021-07-14T06:31:00Z,1,SAMEA8113368,ED3116,F.Luebert 3894,ERP122593,ED3116,2021-07-08,2021-07-08,Nees Insitute for Biodiversity of Plants,tenuis,,,
ERR6064650,RAD-Seq,99,129480392,PRJEB39114,SAMEA8113361,96290851,NEES INSITUTE FOR BIODIVERSITY OF PLANTS,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",2021-07-08,2021-07-08,ERX5703518,SAMEA8113361,"Region III\, Atacama\, Barquito",Nees Insitute for Biodiversity of Plants,2021-07-08T12:21:42Z,2021-07-08T12:21:42Z,public,unspecified,SINGLE,Restriction Digest,GENOMIC,Eulychnia barquitensis,ILLUMINA,2021-07-08T00:00:00Z,2021-07-14T06:29:00Z,1,SAMEA8113361,ED3117,F.Luebert 3898,ERP122593,ED3117,2021-07-08,2021-07-08,Nees Insitute for Biodiversity of Plants,,,,
ERR6064651,RAD-Seq,98,187877295,PRJEB39114,SAMEA8113382,139528225,NEES INSITUTE FOR BIODIVERSITY OF PLANTS,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2021-07-08,2021-07-08,ERX5703519,SAMEA8113382,"Region III\, Atacama\, Chañaral",Nees Insitute for Biodiversity of Plants,2021-07-08T12:21:42Z,2021-07-08T12:21:42Z,public,unspecified,SINGLE,Restriction Digest,GENOMIC,Eulychnia saint-pieana,ILLUMINA,2021-07-08T00:00:00Z,2021-07-14T06:31:00Z,1,SAMEA8113382,ED3118,F.Luebert 3910,ERP122593,ED3118,2021-07-08,2021-07-08,Nees Insitute for Biodiversity of Plants,,,,
