Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),INSDC_center_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,STACKS,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,scientific_name,SRA Study,Submitter_Id,ENA_first_public,INSDC_status,sub_species
ERR14108382,RAD-Seq,68,97425059,PRJEB79940,SAMEA117576367,40769361,NEES INSTITUTE,2014-01-16,public,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",2025-03-11,2025-03-11,ERX13510879,Argentina,South America,Argentina,Nees Institute,Illumina NovaSeq 6000,,SINGLE,Restriction Digest,GENOMIC,Austrocactus aonikenkensis,AON,ILLUMINA,2025-03-12T00:00:00Z,2025-03-16T15:18:00Z,1,SAMEA117576367,W5868,Austrocactus aonikenkensis,ERP164019,W5868,,,
ERR14108383,RAD-Seq,66,155358339,PRJEB79940,SAMEA117576368,65116762,NEES INSTITUTE,2008-12-28,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",2025-03-11,2025-03-11,ERX13510880,Argentina,South America,Argentina,Nees Institute,Illumina NovaSeq 6000,,SINGLE,Restriction Digest,GENOMIC,Austrocactus aonikenkensis,AON,ILLUMINA,2025-03-12T00:00:00Z,2025-03-16T11:50:00Z,1,SAMEA117576368,W6101,Austrocactus aonikenkensis,ERP164019,W6101,,,
ERR14108384,RAD-Seq,67,152709142,PRJEB79940,SAMEA117576369,64163804,NEES INSTITUTE,2015-12-31,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",2025-03-11,2025-03-11,ERX13510881,Argentina,South America,Argentina,Nees Institute,Illumina NovaSeq 6000,,SINGLE,Restriction Digest,GENOMIC,Austrocactus aonikenkensis,AON,ILLUMINA,2025-03-12T00:00:00Z,2025-03-16T15:24:00Z,1,SAMEA117576369,W6104,Austrocactus aonikenkensis,ERP164019,W6104,,,
ERR14108385,RAD-Seq,67,144684600,PRJEB79940,SAMEA117576370,59969690,NEES INSTITUTE,2008-12-26,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",2025-03-11,2025-03-11,ERX13510882,Argentina,South America,Argentina,Nees Institute,Illumina NovaSeq 6000,,SINGLE,Restriction Digest,GENOMIC,Austrocactus aonikenkensis,AON,ILLUMINA,2025-03-12T00:00:00Z,2025-03-16T00:44:00Z,1,SAMEA117576370,W6107,Austrocactus aonikenkensis,ERP164019,W6107,,,
ERR14108386,RAD-Seq,67,173344858,PRJEB79940,SAMEA117576371,72899382,NEES INSTITUTE,2010-01-07,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",2025-03-11,2025-03-11,ERX13510883,Argentina,South America,Argentina,Nees Institute,Illumina NovaSeq 6000,,SINGLE,Restriction Digest,GENOMIC,Austrocactus aonikenkensis,AON,ILLUMINA,2025-03-12T00:00:00Z,2025-03-17T05:52:00Z,1,SAMEA117576371,W6110,Austrocactus aonikenkensis,ERP164019,W6110,,,
ERR14108387,RAD-Seq,66,171255000,PRJEB79940,SAMEA117576372,71879094,NEES INSTITUTE,2016-01-01,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",2025-03-11,2025-03-11,ERX13510884,Argentina,South America,Argentina,Nees Institute,Illumina NovaSeq 6000,,SINGLE,Restriction Digest,GENOMIC,Austrocactus aonikenkensis,AON,ILLUMINA,2025-03-12T00:00:00Z,2025-03-16T00:46:00Z,1,SAMEA117576372,W6111,Austrocactus aonikenkensis,ERP164019,W6111,,,
ERR14108388,RAD-Seq,69,186367793,PRJEB79940,SAMEA117576373,78107901,NEES INSTITUTE,2016-01-07,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2025-03-11,2025-03-11,ERX13510885,Argentina,South America,Argentina,Nees Institute,Illumina NovaSeq 6000,,SINGLE,Restriction Digest,GENOMIC,Austrocactus aonikenkensis,AON,ILLUMINA,2025-03-12T00:00:00Z,2025-03-16T11:50:00Z,1,SAMEA117576373,W6112,Austrocactus aonikenkensis,ERP164019,W6112,,,
ERR14108389,RAD-Seq,67,174919070,PRJEB79940,SAMEA117576374,73656848,NEES INSTITUTE,2014-11-26,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",2025-03-11,2025-03-11,ERX13510886,Argentina,South America,Argentina,Nees Institute,Illumina NovaSeq 6000,,SINGLE,Restriction Digest,GENOMIC,Austrocactus aonikenkensis,AON,ILLUMINA,2025-03-12T00:00:00Z,2025-03-16T00:47:00Z,1,SAMEA117576374,W6113,Austrocactus aonikenkensis,ERP164019,W6113,,,
ERR14108390,RAD-Seq,67,161463935,PRJEB79940,SAMEA117576375,68409103,NEES INSTITUTE,2016-01-08,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",2025-03-11,2025-03-11,ERX13510887,Argentina,South America,Argentina,Nees Institute,Illumina NovaSeq 6000,,SINGLE,Restriction Digest,GENOMIC,Austrocactus aonikenkensis,AON,ILLUMINA,2025-03-12T00:00:00Z,2025-03-15T23:19:00Z,1,SAMEA117576375,W6115,Austrocactus aonikenkensis,ERP164019,W6115,,,
ERR14108391,RAD-Seq,67,158093181,PRJEB79940,SAMEA117576376,66889509,NEES INSTITUTE,2016-01-06,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",2025-03-11,2025-03-11,ERX13510888,Argentina,South America,Argentina,Nees Institute,Illumina NovaSeq 6000,,SINGLE,Restriction Digest,GENOMIC,Austrocactus aonikenkensis,AON,ILLUMINA,2025-03-12T00:00:00Z,2025-03-15T23:19:00Z,1,SAMEA117576376,W6122,Austrocactus aonikenkensis,ERP164019,W6122,,,
ERR14108392,RAD-Seq,67,106097258,PRJEB79940,SAMEA117576377,44236424,NEES INSTITUTE,2006-01-15,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",2025-03-11,2025-03-11,ERX13510889,Argentina,South America,Argentina,Nees Institute,Illumina NovaSeq 6000,,SINGLE,Restriction Digest,GENOMIC,Austrocactus bertinii,BER,ILLUMINA,2025-03-12T00:00:00Z,2025-03-17T21:50:00Z,1,SAMEA117576377,W5872,Austrocactus bertinii,ERP164019,W5872,2025-03-11,public,
ERR14108393,RAD-Seq,67,113098088,PRJEB79940,SAMEA117576378,47609876,NEES INSTITUTE,2009-12-27,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",2025-03-11,2025-03-11,ERX13510890,Argentina,South America,Argentina,Nees Institute,Illumina NovaSeq 6000,,SINGLE,Restriction Digest,GENOMIC,Austrocactus bertinii,BER,ILLUMINA,2025-03-12T00:00:00Z,2025-03-16T15:25:00Z,1,SAMEA117576378,W5887,Austrocactus bertinii,ERP164019,W5887,2025-03-11,public,
ERR14108394,RAD-Seq,67,85892252,PRJEB79940,SAMEA117576379,36139270,NEES INSTITUTE,2015-12-25,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2025-03-11,2025-03-11,ERX13510891,Argentina,South America,Argentina,Nees Institute,Illumina NovaSeq 6000,,SINGLE,Restriction Digest,GENOMIC,Austrocactus bertinii,BER,ILLUMINA,2025-03-12T00:00:00Z,2025-03-16T11:50:00Z,1,SAMEA117576379,W5890,Austrocactus bertinii,ERP164019,W5890,2025-03-11,public,
ERR14108395,RAD-Seq,68,194731176,PRJEB79940,SAMEA117576380,79721895,NEES INSTITUTE,2009-12-27,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",2025-03-11,2025-03-11,ERX13510892,Argentina,South America,Argentina,Nees Institute,Illumina NovaSeq 6000,,SINGLE,Restriction Digest,GENOMIC,Austrocactus bertinii,BER,ILLUMINA,2025-03-12T00:00:00Z,2025-03-15T23:20:00Z,1,SAMEA117576380,W6103,Austrocactus bertinii,ERP164019,W6103,2025-03-11,public,
ERR14108396,RAD-Seq,67,128645720,PRJEB79940,SAMEA117576381,53422198,NEES INSTITUTE,2014-01-04,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",2025-03-11,2025-03-11,ERX13510893,Argentina,South America,Argentina,Nees Institute,Illumina NovaSeq 6000,,SINGLE,Restriction Digest,GENOMIC,Austrocactus coxii subsp. colloncurensis,COXcol,ILLUMINA,2025-03-12T00:00:00Z,2025-03-16T18:34:00Z,1,SAMEA117576381,W5873,Austrocactus coxii subsp. colloncurensis,ERP164019,W5873,,,colloncurensis
ERR14108397,RAD-Seq,66,104012615,PRJEB79940,SAMEA117576382,43512961,NEES INSTITUTE,2009-01-03,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",2025-03-11,2025-03-11,ERX13510894,Argentina,South America,Argentina,Nees Institute,Illumina NovaSeq 6000,,SINGLE,Restriction Digest,GENOMIC,Austrocactus coxii subsp. colloncurensis,COXcol,ILLUMINA,2025-03-12T00:00:00Z,2025-03-16T15:18:00Z,1,SAMEA117576382,W5876,Austrocactus coxii subsp. colloncurensis,ERP164019,W5876,,,colloncurensis
ERR14108398,RAD-Seq,67,113171567,PRJEB79940,SAMEA117576383,47154186,NEES INSTITUTE,2014-01-04,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",2025-03-11,2025-03-11,ERX13510895,Argentina,South America,Argentina,Nees Institute,Illumina NovaSeq 6000,,SINGLE,Restriction Digest,GENOMIC,Austrocactus coxii,COX,ILLUMINA,2025-03-12T00:00:00Z,2025-03-16T00:45:00Z,1,SAMEA117576383,W5886,Austrocactus coxii,ERP164019,W5886,2025-03-11,public,
